seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
12345678901234567890_160715134054	X0015N5B7T	0021381089	UsedRefurbished	SELLABLE	0
151028104846	X000VXVM9P	B000ID350Q	CollectibleVeryGood	SELLABLE	0
0399578250	X001DLH0F9	0399578250	NewItem	SELLABLE	0
151021100116	X000VRRP97	0195012828	UsedLikeNew	SELLABLE	0
12345678901234567890_160706112238	X00155ZZ41	0393972836	UsedRefurbished	SELLABLE	0
151028115348	X000VY12WB	B000JQM1DE	UsedLikeNew	SELLABLE	0
151021092701	X000VRQ72N	0001508679	NewItem	SELLABLE	0
12345678901234567890_160715134124	X0015M4ULN	0071387730	UsedRefurbished	SELLABLE	0
12345678901234567890_160715134010	X0015MHHGD	0012047457	UsedRefurbished	SELLABLE	0
151028102343	X000VXU9E9	B001QUDVWW	UsedVeryGood	SELLABLE	0
12345678901234567890_160715134032	X0015LZKDL	0012058726	UsedRefurbished	SELLABLE	0
151019101203	X000VPGWWZ	1607065967	NewItem	SELLABLE	0
151029101902	X000VYYJHB	B000BXTVBK	CollectibleLikeNew	SELLABLE	0
12345678901234567890_160711114223	X0015IL0IX	123456789X	UsedLikeNew	SELLABLE	0
12345678901234567890_160715134112	X0015MHHNV	0071424121	UsedRefurbished	SELLABLE	0
151027155353	X000VX5O67	123456789X	UsedVeryGood	SELLABLE	0
151019215838	X000VQ8LC3	1608319059	UsedVeryGood	SELLABLE	0
12345678901234567890_160715134006	X0015MHHFJ	0060582545	UsedRefurbished	SELLABLE	0
12345678901234567890_160715134108	X0015MHHNL	0062014951	UsedRefurbished	SELLABLE	0
11111111111111111111_160304115029	X000Z1ZPIR	0070232431	UsedRefurbished	SELLABLE	0
12345678901234567890_160711114205	X0015B4GYP	002052210X	UsedLikeNew	SELLABLE	0
151019100351	X000VPGKQ3	1572248912	UsedVeryGood	SELLABLE	0
151028102803	X000VXUHJB	B000XQJZBG	UsedVeryGood	SELLABLE	0
151028141915	X000VY79QT	6303402348	UsedAcceptable	SELLABLE	0
151021095119	X000VRR5T7	B0009PUR2M	UsedAcceptable	SELLABLE	0
12345678901234567890_160708141921	X00158YOWR	0448489155	UsedLikeNew	SELLABLE	0
151019101022	X000VPGU45	1607065967	UsedLikeNew	SELLABLE	0
151028115458	X000VY140L	B000JQM1DE	UsedLikeNew	SELLABLE	0
12345678901234567890_160312214934	X0012ZH9C5	B00HZV9WTM	NewItem	SELLABLE	0
0751640356	X00106SLMX	0078962935	UsedLikeNew	SELLABLE	0
151020104342	X000VQRY3Z	B0039L6JKC	NewItem	SELLABLE	0
151021095219	X000VRR75J	0030463785	UsedGood	SELLABLE	0
151020104125	X000VQRTC1	0963753320	NewItem	SELLABLE	0
12345678901234567890_160715134059	X0015I1FD3	0060565071	UsedRefurbished	SELLABLE	0
151028105603	X000VXVZEH	B003FO70Z6	UsedLikeNew	SELLABLE	0
0S-3Z7I-VFS1	X000YFI9QJ	0195012828	UsedVeryGood	SELLABLE	0
1499971308647	X001H46UFN	0133579492	Refurbished	SELLABLE	0
151028100402	X000VXTG57	B00LAHM1TK	UsedVeryGood	SELLABLE	0
12345678901234567890_160714094105	X0015H08NH	B006GM18CU	UsedLikeNew	SELLABLE	0
12345678901234567890_160719144930	X0015RT1ZX	B00187MR78	CollectibleLikeNew	SELLABLE	0
12345678901234567890_160715134043	X0015I1FBZ	0061074292	UsedRefurbished	SELLABLE	0
12345678901234567890_160715134131	X0015MHHQ3	0021447896	UsedRefurbished	SELLABLE	0
1234567890123456789_160708171308	X00158GTI9	B001OCBVZ6	NewItem	SELLABLE	0
12345678901234567890_160715134035	X0015LZKEF	0071346945	UsedRefurbished	SELLABLE	0
12345678901234567890_160715134013	X0015MPMJH	0013158120	UsedRefurbished	SELLABLE	0
151028142011	X000VY7B49	B000BXTVBK	CollectibleGood	SELLABLE	0
12345678901234567890_160715134027	X0015MHHHR	0071417362	UsedRefurbished	SELLABLE	0
